RoadsteronFalcon,1
flight2,1
2019First,4
orbit.Crew,1
Demo-13,1
autonomously,2
dock,2
crew-capable,1
Station(ISS).25,1
afull-flow,1
staged,2
combustion,2
cycle,1
engine(Raptor).[89]Starhopper11,1
fairing.,1
fairing,2
theArabSat-6Amission,1
2019.Starlink,1
2,20
v1.0January,1
2020Largest,1
operator,1
world.[71]Starlink,1
3,15
v1.030,1
2020First,2
humans,2
orbit.[90]Crew,1
Demo-231,1
Station(ISS).[91]24,1
2021Most,1
"mission,",1
143,1
satellites.[a][92]Transporter-1,1
onFalcon,1
917,1
2021First,2
booster,7
'national,2
security',2
mission.,1
(National,1
security,6
previously,1
boosters.)[93]GPS,1
III-05onFalcon,1
B106216,1
all-private,1
crew.[94][95]Inspiration4.mw-parser-output,1
.reflist{font-size:90%;margin-bottom:0.5em;list-style-type:decimal}.mw-parser-output,1
.reflist,1
.references{font-size:100%;margin-bottom:0;list-style-type:inherit}.mw-parser-output,1
.reflist-columns-2{column-width:30em}.mw-parser-output,1
.reflist-columns-3{column-width:25em}.mw-parser-output,1
.reflist-columns{margin-top:0.3em}.mw-parser-output,1
.reflist-columns,2
ol{margin-top:0}.mw-parser-output,1
li{page-break-inside:avoid;break-inside:avoid-column}.mw-parser-output,1
.reflist-upper-alpha{list-style-type:upper-alpha}.mw-parser-output,1
.reflist-upper-roman{list-style-type:upper-roman}.mw-parser-output,1
.reflist-lower-alpha{list-style-type:lower-alpha}.mw-parser-output,1
.reflist-lower-greek{list-style-type:lower-greek}.mw-parser-output,1
.reflist-lower-roman{list-style-type:lower-roman}^Excluding,1
passive,1
objects,1
ofProject,1
West,2
FordHardwareLaunch,1
vehiclesMain,1
article:SpaceX,5
vehiclesThe,1
aFalcon,4
Block,5
5first,1
Cape,4
–VTVLtechnologies,1
utilized,1
vehicles.SpaceX,1
vehicles.,2
small-liftFalcon,1
1was,2
2009.,2
medium-liftFalcon,1
9and,1
heavy-liftFalcon,1
Heavyare,1
operational.,1
TheFalcon,2
capable,4
placing,2
kilograms,2
intolow,1
Earth,11
orbit.,1
five,2
"2009,",1
successfully.[96]It,1
functioned,1
test-bed,1
concepts,2
components,1
9.[96]The,1
"funded,",1
9is,1
anmedium-lift,1
vehiclecapable,2
delivering,4
"22,800",1
"(50,265",1
lb),4
competing,1
theDelta,1
IVand,1
theAtlas,1
"Vrockets,",1
well,1
providers,1
world.,1
nineMerlinengines,1
stage.,2
v1.0rocket,1
4,9
2010.,1
Its,3
third,1
"flight,COTS",1
"2,",2
22,10
firstcommercialspacecraft,1
(ISS).[38]The,1
upgraded,1
toFalcon,2
