key,val
"June2020.^""Elon",1
space.com.,1
May2021.^abStephen,1
61.808,1
AdventuresThe,1
questions,1
Fortune,1
sector,1
$1.9,1
"funding"".Reuters.",1
CorporationSpace,1
SpaceBigelow,1
"Jackie.""SpaceX",1
trip,1
"2008).""Sweet",1
AstronautsAstronaute,1
Autonomous,1
"Orbit,",1
SocietyNASANational,1
Launching,1
Era,1
shuttles,1
launch:,1
"retired"".The",1
SocietySpaceXThe,1
"May2020.^Wattles,",1
"CNN"".",1
"May2020.^""SpaceX-NASA",1
Demo-2,1
GalacticARCAAssociation,1
His,1
$46,1
"connectivity"".CNBC.Archivedfrom",1
checks,1
"billion"".CNBC.Archivedfrom",1
tourismOrganizationsActiveAxiom,1
"February2021.^abFoust,",1
"March2021.^abHoffman,",1
VenturesOrbital,1
Aerospace,1
D&SMojave,1
OriginAirbus,1
"round"".SpaceNews.Archivedfrom",1
"'unicorn'"".",1
99th,1
"April2021.^Novet,",1
USAtoday.com.Archivedfrom,1
Ralph,1
Jordan,1
May2021.^Eric,1
"2021).""Google",1
AerospaceBlue,1
$74,1
jumping,1
TechnologiesPDASRedwireSierra,1
$850,1
CNN,1
Betting,1
landing),1
"frontier"".",1
(and,1
liftoff,1
Business.Archivedfrom,1
"2007).""Elon",1
"August2020.^abSheetz,",1
10th,1
Nevada,1
"August2020.^""SpaceX",1
SocietyvteSpace,1
Club,1
"[updated]"".",1
"Template:Official_URL"",""",1
Carl,1
61.06%,1
SuborbitalsSpace,1
EuropéenCommercial,1
Underground,1
spaceSpace,1
"February2019.^abCopeland,",1
Rob,1
"2018).""Elon",1
spaceCommercialization,1
Faced,1
Questions,1
Over,1
Financial,1
"Ties"".The",1
IIIStarlinerStarshipLiving,1
GlennSpaceShip,1
ShepardSpaceShipTwoFutureNew,1
December2018.When,1
spun,1
90%,1
Mr.,1
rest,1
employees...,1
given,1
compensation,1
"Tunnel"".cbslocal.com.",1
colonizationSpace,1
"stock,",1
Revealed,1
spaceplaneSpace,1
Community,1
"Department,",1
"Hawthorne,",1
Accessed,1
"13,",1
"2018^Nelson,",1
Laura,1
"2017).""Elon",1
tunneling,1
stationSuborbital,1
dig,1
"L.A.""Los",1
Retrieved13,1
"September2018.^""Nothing",1
"""Boring""",1
medicineSpace,1
About,1
Newly,1
2.61%,1
habitatSpace,1
help...,1
"""based",1
Lifts,1
Spike,1
AerospaceGolden,1
valuing,1
SocietyDefunctArmadillo,1
"billion"".",1
"May2020.^""SpaceX",1
rises,1
$33.3,1
"opportunity"".",1
Tourism,1
FoundationSpace,1
"June2019.^Cao,",1
Sissi,1
"2020).""As",1
"Valuation,",1
Last,1
Clarifies,1
"Rumors"".",1
Observer.Archivedfrom,1
"May2020.^abChang,",1
FederationCopenhagen,1
Kenneth,1
$250,1
raise,1
contributed,1
looking,1
"company"".^Wattles,",1
"Orbit"".Wired",1
2New,1
"workers"".",1
AerospaceVehiclesCurrentSoyuzDragon,1
Project)XCOR,1
"2019.^abPatel,",1
Group(Space,1
"Neel.""SpaceX",1
Earth's,1
biggest,1
"network"".",1
MIT,1
Beyond,1
ToursSpace,1
Technology,1
Review.Archivedfrom,1
Retrieved9,1
"January2020.^Sheetz,",1
SpanRocketShip,1
CompanyOrion,1
targetsMarsVenusOrganizationsMars,1
Capsule,1
"Rocket"".",1
physics,1
"Counter"".Archivedfrom",1
"June2021.^abO'Callaghan,",1
serviceBroadcast,1
audio,1
(31,1
radio/TVDVB-SHS-DMBDVB-RCSDVB-S2DVB-S2XISDB-S3Digital,1
terminalSatellite,1
unitSpacebusVery-small-aperture,1
wild,1
"projects""},""publisher"":{""@type"":""Organization"",""name"":""Wikimedia",1
methane-guzzling,1
companiesAstra,1
"super-rocket"".Wired",1
modemSatellite,1
UK.Archivedfrom,1
"April2021.^ab""Falcon",1
"Kit""(PDF).",1
"September2008.^ab""Falcon",1
phoneSatellite,1
antennas)Satellite,1
dish(Parabolic,1
"Guide,",1
"June2021.^""Total",1
"Summary"".Archivedfrom",1
spaceTerraforming,1
USAF.,1
HoldingsSky,1
"Template:Navbox""]},""scribunto"":{""limitreport-timeusage"":{""value"":""1.421"",""limit"":""10.000""},""limitreport-memusage"":{""value"":15662315,""limit"":52428800},""limitreport-profile"":[[""?"",""220"",""14.3""],[""recursiveClone",1
January2013.^spacexcmsadmin,1
"2012).""Falcon",1
"Heavy"".",1
"April2017.^ab""Air",1
"\u003CmwInit.lua:41\u003E"",""180"",""11.7""],[""\u003Cmw.lua:690\u003E"",""120"",""7.8""],[""coins_cleanup",1
Force's,1
Certifies,1
XM,1
NetworkSirius,1
Missions,1
"\u003CModule:Citation/CS1/COinS:132\u003E"",""80"",""5.2""],[""dataWrapper",1
"domain.^Erwin,",1
"\u003Cmw.lua:668\u003E"",""80"",""5.2""],[""Scribunto_LuaSandboxCallback::callParserFunction"",""80"",""5.2""],[""type"",""60"",""3.9""],[""Scribunto_LuaSandboxCallback::match"",""60"",""3.9""],[""tostring"",""60"",""3.9""],[""Scribunto_LuaSandboxCallback::anchorEncode"",""40"",""2.6""],[""[others]"",""560"",""36.4""]]},""cachereport"":{""origin"":""mw1429"",""timestamp"":""20211003155234"",""ttl"":1814400,""transientcontent"":false}}});});{""@context"":""https:\/\/schema.org"",""@type"":""Article"",""name"":""SpaceX"",""url"":""https:\/\/en.wikipedia.org\/wiki\/SpaceX"",""sameAs"":""http:\/\/www.wikidata.org\/entity\/Q193701"",""mainEntity"":""http:\/\/www.wikidata.org\/entity\/Q193701"",""author"":{""@type"":""Organization"",""name"":""Contributors",1
RadioDirecTVDish,1
needed,1
Wikimedia,1
meet,1
required,1
"orbits"".",1
"September2019.^""SpaceX",1
"2009""(PDF).",1
"March2017.^Bergin,",1
Chris,1
accessAmateur,1
satelliteTransponderCarriage,1
"2020^Berger,",1
"(link)^""SpaceX",1
satelliteRelay,1
stationHigh-throughput,1
satelliteGround,1
Thruster,1
Performs,1
Long-Duration,1
Firing,1
"Restart""(Press",1
lifts,1
radioSatellite,1
"March2017.^Colangelo,",1
televisionSatellite,1
"Anthony.""Farewell,",1
articlesSatellite,1
Red,1
"Dragon"".Main",1
Engine,1
Cut,1
Off.Archivedfrom,1
unknown,1
June2021.CS1,1
"Kestrel"".",1
disputeHardwareSAT>IPMonoblock,1
lid,1
dishMulti-satelliteSatellite,1
V2,1
"spacecraft"".NASAspaceflight.com.Archivedfrom",1
"May2014.^""Falcon",1
"Guide""(PDF).",1
"February2019.^Fischer,",1
Dave,1
(August,1
"2010).""Pintle",1
DishMotor-driven,1
Injector,1
Tracking,1
"Engines"".National",1
"Inc."",""logo"":{""@type"":""ImageObject"",""url"":""https:\/\/www.wikimedia.org\/static\/images\/wmf-hor-googpub.png""}},""datePublished"":""2004-07-16T17:12:15Z"",""dateModified"":""2021-09-29T09:20:56Z"",""image"":""https:\/\/upload.wikimedia.org\/wikipedia\/commons\/e\/ee\/Iridium-4_Mission_%2825557986177%29.jpg"",""headline"":""American",1
LNBDiSEqCUSALSAutomatic,1
Society,1
Blog.,1
Society.Archivedfrom,1
"August2013.^""Encyclopedia",1
Astronautica,1
Watch.Archivedfrom,1
UKViasat[Nordics]1worldspaceRelay,1
NewSpace,1
Chica,1
"2016).""Zuma",1
cylinderO'Neill,1
RingMcKendree,1
habitatsBishop,1
habitatTerraformingSpace,1
"June2017.^Burghardt,",1
"Template:Sidebar"",""",1
"2019).""Starhopper",1
conducts,1
debut,1
"Hop"".NASASpaceFlight.com.Archivedfrom",1
travelIntergalactic,1
"January2021.^""SpaceX",1
survivalSpace,1
"Launches"".The",1
habitabilitySpace,1
"May2020.^""SpaceX's",1
60.397,1
1st,1
docks,1
historic,1
travelPlanetary,1
cylinderStanford,1
May2017.^spacexcmsadmin,1
Fortune.com.Archivedfrom,1
"December2012.^Maney,",1
objectsFree,1
SystemEuropaTitanTrans-Neptunian,1
"2012).""Space",1
"11,",1
SystemVenusMarsMoonOuter,1
60.464,1
"Station"".The",1
"2005).""Private",1
Kevin,1
"May2012.^""SpaceX,",1
Another,1
"First,",1
Recovers,1
US$6,1
pointsInner,1
Nose,1
Cone,1
Reused,1
"9"".",1
targetsAsteroidsminingLagrange,1
torusColonization,1
"rendezvous"".",1
"June2020.^Hennessy,",1
companiesEchoStarEutelsatGlobalstarHughesInmarsatIntelsatIntersputnikIridiumSED,1
“Blocks”.,1
GrummanSpaceXSSLThales,1
February2021.The,1
v1.2,1
constantly,1
