word,count
finish,1
sight,1
"spaceship"".",1
[the,1
"engine"".",1
parachutes],1
angle,1
"seats,",1
get,1
"anymore',",1
said.,1
"""so",1
"march2019.^clark,",1
"nasaspaceflight.com"".",1
splashdown,1
conclude,1
"april2017.^grush,",1
loren,1
carter,1
"time"".",1
"april2019.^""big",1
news!,1
starhopper,1
"flight!"".",1
march2017.^abjohn,1
"august2019.^berger,",1
"2020).""so,",1
pretty,1
good,1
"rocketing"".ars",1
"march2021.^""crew",1
launcherarchivedjune,1
$300,1
"10,",1
"march2017.^ab""elon",1
march2017.^denise,1
rebuild,1
"aftermath"".orlando",1
sentinel.archivedfrom,1
march2017.^loren,1
grush,1
"march2017.^""anomaly",1
"updates"".",1
news.,1
'flight-proven',1
'better,1
"rocket"".the",1
"splash"".bbc",1
voyage,1
recycle,1
"rocket"".nbc",1
now,1
valuable,1
capsule's,1
"companies"".the",1
santana,1
march2017.^marco,1
"2010).""q",1
happen,1
robert,1
"ship"".cnbc.archivedfrom",1
march2021.^peter,1
$270,1
"2016).""spacex's",1
builders,1
"inquiry,",1
"2011).""private",1
june2017.^denise,1
valley's,1
test-and-fail,1
"ethos"".",1
march2017.^calandrelli,1
space.com.archivedfrom,1
"e,",1
"dragons"".",1
escher,1
"2016).""the",1
events,1
"domain.^ab""private",1
june2017.this,1
constantly,1
tame,1
"(spacex)""(pdf).archived(pdf)from",1
2017.^agenda,1
item,1
"march2021.^berger,",1
"council,",1
agenda,1
billarchived24,1
"9"".nasaspaceflight.com.archivedfrom",1
cadence,1
50,1
nasa.archived(pdf)from,1
"2017).""spacex",1
"217–221.isbn978-0-06-297997-1.^graham,",1
"11,",1
"216.isbn978-0-06-297997-1.^berger,",1
"178–182.isbn978-0-06-297997-1.^berger,",1
community,1
"department,",1
"hawthorne,",1
"18.^berger,",1
"222.isbn978-0-06-297997-1.^david,",1
affairs,1
senior,1
"leonard.""spacex",1
"committee""(pdf).",1
nac,1
"november2017.^""as",1
steamroller,1
"surges,",1
industry,1
"2010).""minutes",1
"resist"".",1
frankel,1
july2018.^spacexcmsadmin,1
"2012).""company"".",1
march2021.^abdavid,1
"march2018.^abc""company",1
"march2017.^hughes,",1
nbc,1
"2017).""statement",1
"vehicle"".msnbc.",1
hughes,1
tackle,1
"march2017.^wright,",1
"funds"".",1
tonight's,1
"$20/share,",1
esa:,1
need,1
"help"".",1
secondary,1
pre-mission,1
"2014).""satellite",1
esa,1
ariane,1
"costs"".",1
link]^melody,1
"2015).""background",1
$2.4,1
"march2017.^""privately-held",1
cbc,1
upset,1
firm's,1
blast,1
"2012).""private",1
"satellites"".the",1
march2017.^abcanadian,1
"2014).""arianespace",1
svitak,1
"station"".privco.com.",1
march2017.^amy,1
"tim.""the",1
single-minded,1
pursuit,1
"2012.^abfernholz,",1
"reusability"".quartz.archivedfrom",1
march2021.^abpeter,1
secondmarket.,1
"secondmarket"".",1
overview,1
venturebeat.archivedfrom,1
us$4.8,1
"2015).""arianespace,",1
battle,1
skyrocket,1
